model_name,unique_id,model_path,schema,materialization,resource_enabled,contract_enforced,column_count,tags,owner,servingdb_sync,child_count,parent_count,access,migration_status,target_canonical_model,compatibility_relation,deprecation_date,deprecation_ticket,wave,notes
base_salesforce__attribution,model.healthcare_analytics.base_salesforce__attribution,models/sources/salesforce/base_salesforce__attribution.sql,staging,view,True,False,1,"attribution,base,crm,salesforce",,False,7,1,protected,active,,,,,,
behavioral_health,model.healthcare_analytics.behavioral_health,models/facts/behavioral_health.sql,healthcare,incremental,True,True,56,"behavioral_health,cube,fact,BIPlatform",,False,7,3,protected,active,,,,,,
beta_new_patient_cohort,model.healthcare_analytics.beta_new_patient_cohort,models/healthcare/scheduling/beta_new_patient_cohort.sql,healthcare,view,True,False,2,"analytics,beta,capacity,operating_review,retention,retier,scheduling,superset",,False,3,1,protected,active,,,,,,
beta_panel_flow,model.healthcare_analytics.beta_panel_flow,models/healthcare/scheduling/beta_panel_flow.sql,healthcare,view,True,False,2,"analytics,beta,capacity,operating_review,retention,retier,scheduling,superset",,False,3,1,protected,active,,,,,,
beta_retention_curve,model.healthcare_analytics.beta_retention_curve,models/healthcare/scheduling/beta_retention_curve.sql,healthcare,view,True,False,1,"analytics,beta,capacity,operating_review,retention,retier,scheduling,superset",,False,2,1,protected,active,,,,,,
call_center_interactions,model.healthcare_analytics.call_center_interactions,models/facts/call_center_interactions.sql,healthcare,incremental,True,True,38,"call_center,cube,fact,nice,BIPlatform",,False,3,5,protected,active,,,,,,
call_center_sentiment,model.healthcare_analytics.call_center_sentiment,models/facts/call_center_sentiment.sql,healthcare,incremental,True,True,32,"call_center,cube,fact,nice,sentiment,BIPlatform",,False,3,4,protected,active,,,,,,
clinics,model.healthcare_analytics.clinics,models/dimensions/clinics.sql,healthcare,incremental,True,True,6,"cube,dimension,mdm,BIPlatform",,False,10,1,protected,active,,,,,,
dim_icd_categorization,model.healthcare_analytics.dim_icd_categorization,models/marts/reference/dim_icd_categorization.sql,reference,table,True,False,20,"dim,icd,reference",,False,2,8,protected,active,,,,,,
dim_raf__attribution,model.healthcare_analytics.dim_raf__attribution,models/healthcare/raf/shared/facts/dim_raf__attribution.sql,healthcare,table,True,False,13,"cms_hcc,cube,dimension,fact,gold,raf,risk_adjustment,BIPlatform",,False,22,8,protected,active,,,,,,
dim_raf__hcc_catalog,model.healthcare_analytics.dim_raf__hcc_catalog,models/healthcare/raf/shared/facts/dim_raf__hcc_catalog.sql,healthcare,table,True,False,4,"cms_hcc,cube,dimension,fact,gold,raf,reference,risk_adjustment,BIPlatform",,False,5,6,protected,active,,,,,,
dim_rn_hh_department,model.healthcare_analytics.dim_rn_hh_department,models/healthcare/rn_inbox/dim_rn_hh_department.sql,healthcare,view,True,False,1,"dimension,nursing,rn_inbox",,False,4,1,protected,active,,,,,,
dim_rn_practice_role,model.healthcare_analytics.dim_rn_practice_role,models/healthcare/rn_inbox/dim_rn_practice_role.sql,healthcare,view,True,False,1,"dimension,nursing,rn_inbox",,False,3,0,protected,active,,,,,,
dim_rn_staff,model.healthcare_analytics.dim_rn_staff,models/healthcare/rn_inbox/dim_rn_staff.sql,healthcare,view,True,False,3,"dimension,nursing,rn_inbox",,False,4,5,protected,active,,,,,,
dim_rn_staff_athena,model.healthcare_analytics.dim_rn_staff_athena,models/healthcare/rn_inbox/dim_rn_staff_athena.sql,healthcare,view,True,False,1,"dimension,nursing,rn_inbox",,False,3,1,protected,active,,,,,,
dim_staff_athena,model.healthcare_analytics.dim_staff_athena,models/dimensions/dim_staff_athena.sql,healthcare,view,True,False,2,"athena,cube,dimension,mdm,staff,BIPlatform",,False,1,1,protected,active,,,,,,
fact_provider_nps,model.healthcare_analytics.fact_provider_nps,models/healthcare/nps/fact_provider_nps.sql,healthcare,incremental,True,False,16,"ai,nps,survey",,True,5,3,protected,active,,,,,,
fct_auto_tier_chronic,model.healthcare_analytics.fct_auto_tier_chronic,models/healthcare/scheduling/auto_tier/fct_auto_tier_chronic.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_labs,model.healthcare_analytics.fct_auto_tier_labs,models/healthcare/scheduling/auto_tier/fct_auto_tier_labs.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_medications,model.healthcare_analytics.fct_auto_tier_medications,models/healthcare/scheduling/auto_tier/fct_auto_tier_medications.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_questionnaires,model.healthcare_analytics.fct_auto_tier_questionnaires,models/healthcare/scheduling/auto_tier/fct_auto_tier_questionnaires.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_risk_factors,model.healthcare_analytics.fct_auto_tier_risk_factors,models/healthcare/scheduling/auto_tier/fct_auto_tier_risk_factors.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_rubric_trace,model.healthcare_analytics.fct_auto_tier_rubric_trace,models/healthcare/scheduling/auto_tier/fct_auto_tier_rubric_trace.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_severe_hcc,model.healthcare_analytics.fct_auto_tier_severe_hcc,models/healthcare/scheduling/auto_tier/fct_auto_tier_severe_hcc.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_social,model.healthcare_analytics.fct_auto_tier_social,models/healthcare/scheduling/auto_tier/fct_auto_tier_social.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_summary,model.healthcare_analytics.fct_auto_tier_summary,models/healthcare/scheduling/auto_tier/fct_auto_tier_summary.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_auto_tier_utilization,model.healthcare_analytics.fct_auto_tier_utilization,models/healthcare/scheduling/auto_tier/fct_auto_tier_utilization.sql,healthcare,table,True,False,0,"auto_tier,explain,retier,scheduling",,False,0,0,protected,active,,,,,,DEV-4586 Auto Tier inspector explain facts
fct_cdia__provider_audit,model.healthcare_analytics.fct_cdia__provider_audit,models/healthcare/cdia/gold/fct_cdia__provider_audit.sql,healthcare,incremental,True,True,26,"cdia,cube,gold,no_full_refresh",,False,20,1,protected,active,,,,,,
fct_jira_work,model.healthcare_analytics.fct_jira_work,models/jira/fct_jira_work.sql,jira,view,True,True,42,"cube,fact,jira,BIPlatform",,False,1,1,protected,active,,,,,,
fct_mdm__member_month,model.healthcare_analytics.fct_mdm__member_month,models/healthcare/mdm/facts/fct_mdm__member_month.sql,healthcare,table,True,False,14,"cube,fact,mdm,member,spine,BIPlatform",,False,17,6,protected,active,,,,,,
fct_patient_engagement_events,model.healthcare_analytics.fct_patient_engagement_events,models/healthcare/engagement/fct_patient_engagement_events.sql,healthcare,table,True,False,5,"cube,engagement,healthcare,BIPlatform",,False,6,4,protected,active,,,,,,
fct_patient_provider_monthly,model.healthcare_analytics.fct_patient_provider_monthly,models/provider_bonus/facts/fct_patient_provider_monthly.sql,provider_bonus,table,True,False,2,"attribution,cube,fact,provider_bonus,BIPlatform",,True,3,1,protected,active,,,,,,
fct_payor__claims,model.healthcare_analytics.fct_payor__claims,models/healthcare/payor/gold/fct_payor__claims.sql,healthcare,incremental,True,False,14,"attribution,claims,fact,gold,payor",,False,24,1,protected,active,,,,,,
fct_provider_bonus,model.healthcare_analytics.fct_provider_bonus,models/provider_bonus/facts/fct_provider_bonus.sql,provider_bonus,incremental,True,True,71,"cube,fact,provider_bonus,BIPlatform",,True,35,11,protected,active,,,,,,
fct_provider_bonus_detail,model.healthcare_analytics.fct_provider_bonus_detail,models/provider_bonus/facts/fct_provider_bonus_detail.sql,provider_bonus,incremental,True,True,26,"audit,cube,fact,provider_bonus,BIPlatform",,True,13,11,protected,active,,,,,,
fct_provider_bonus_quarterly_payout,model.healthcare_analytics.fct_provider_bonus_quarterly_payout,models/provider_bonus/facts/fct_provider_bonus_quarterly_payout.sql,provider_bonus,incremental,True,True,35,"cube,fact,payout,provider_bonus,BIPlatform",,True,5,2,protected,active,,,,,,
fct_provider_bonus_snapshot,model.healthcare_analytics.fct_provider_bonus_snapshot,models/provider_bonus/facts/fct_provider_bonus_snapshot.sql,provider_bonus,incremental,True,True,32,"cube,fact,provider_bonus,snapshot,BIPlatform",,True,6,5,protected,active,,,,,,
fct_provider_metric_history,model.healthcare_analytics.fct_provider_metric_history,models/provider_bonus/facts/fct_provider_metric_history.sql,provider_bonus,incremental,True,False,17,"cube,fact,history,provider_bonus,BIPlatform",,True,15,5,protected,active,,,,,,
fct_quality__payor_alpha_mn_contract_output,model.healthcare_analytics.fct_quality__payor_alpha_mn_contract_output,models/healthcare/quality/marts/fct_quality__payor_alpha_mn_contract_output.sql,healthcare,table,True,False,30,"PAYOR_A,dev-4296,hedis,marts,quality",Gyasi Sutton,False,10,4,protected,active,,,,,,
fct_quality__payor_alpha_mn_gap_evidence,model.healthcare_analytics.fct_quality__payor_alpha_mn_gap_evidence,models/healthcare/quality/marts/fct_quality__payor_alpha_mn_gap_evidence.sql,healthcare,table,True,False,24,"PAYOR_A,dev-4296,hedis,marts,quality",Gyasi Sutton,False,2,2,protected,active,,,,,,
fct_quality__payor_alpha_mn_roster,model.healthcare_analytics.fct_quality__payor_alpha_mn_roster,models/healthcare/quality/marts/fct_quality__payor_alpha_mn_roster.sql,healthcare,table,True,False,7,"PAYOR_A,dev-4296,hedis,mart,marts,quality",Gyasi Sutton,False,16,5,protected,active,,,,,,
fct_quality__payor_alpha_mn_submission,model.healthcare_analytics.fct_quality__payor_alpha_mn_submission,models/healthcare/quality/marts/fct_quality__payor_alpha_mn_submission.sql,healthcare,table,True,False,15,"PAYOR_A,dev-4296,hedis,marts,quality",Gyasi Sutton,False,7,1,protected,active,,,,,,
fct_quality__payor_alpha_mn_submission_demographics,model.healthcare_analytics.fct_quality__payor_alpha_mn_submission_demographics,models/healthcare/quality/marts/fct_quality__payor_alpha_mn_submission_demographics.sql,healthcare,table,True,False,19,"PAYOR_A,dev-4296,hedis,mart,marts,quality",Gyasi Sutton,False,5,5,protected,active,,,,,,
fct_quality__payor_gamma_contract_output,model.healthcare_analytics.fct_quality__payor_gamma_contract_output,models/healthcare/quality/marts/fct_quality__payor_gamma_contract_output.sql,healthcare,table,True,False,52,"dev-4296,hedis,PAYOR_C,mart,marts,quality",Gyasi Sutton,False,5,4,protected,active,,,,,,
fct_quality__payor_gamma_gap_evidence,model.healthcare_analytics.fct_quality__payor_gamma_gap_evidence,models/healthcare/quality/marts/fct_quality__payor_gamma_gap_evidence.sql,healthcare,table,True,False,14,"dev-4296,hedis,PAYOR_C,mart,marts,quality",Gyasi Sutton,False,11,2,protected,active,,,,,,
fct_quality__payor_gamma_roster,model.healthcare_analytics.fct_quality__payor_gamma_roster,models/healthcare/quality/marts/fct_quality__payor_gamma_roster.sql,healthcare,table,True,False,7,"dev-4296,hedis,PAYOR_C,mart,marts,quality",Gyasi Sutton,False,13,5,protected,active,,,,,,
fct_quality__payor_gamma_submission_demographics,model.healthcare_analytics.fct_quality__payor_gamma_submission_demographics,models/healthcare/quality/marts/fct_quality__payor_gamma_submission_demographics.sql,healthcare,table,True,False,10,"dev-4296,hedis,PAYOR_C,mart,marts,quality",Gyasi Sutton,False,6,4,protected,active,,,,,,
fct_quality_measure_snapshot,model.healthcare_analytics.fct_quality_measure_snapshot,models/provider_bonus/facts/fct_quality_measure_snapshot.sql,provider_bonus,incremental,True,True,14,"cube,fact,provider_bonus,quality,snapshot,BIPlatform",,True,6,1,protected,active,,,,,,
fct_raf__blended_patient_summary,model.healthcare_analytics.fct_raf__blended_patient_summary,models/healthcare/raf/score/facts/fct_raf__blended_patient_summary.sql,healthcare,incremental,True,False,3,"blend,cms_hcc,cube,fact,gold,raf,risk_adjustment,v24,BIPlatform",,False,5,3,protected,active,,,,,,
fct_raf__buildup_monthly,model.healthcare_analytics.fct_raf__buildup_monthly,models/healthcare/raf/score/facts/fct_raf__buildup_monthly.sql,healthcare,table,True,False,4,"cms_hcc,cube,fact,gold,raf,risk_adjustment,BIPlatform",,False,6,1,protected,active,,,,,,
fct_raf__claims_reconciliation,model.healthcare_analytics.fct_raf__claims_reconciliation,models/healthcare/raf/revenue/facts/fct_raf__claims_reconciliation.sql,healthcare,incremental,True,False,4,"cms_hcc,cube,fact,gold,raf,reconciliation,risk_adjustment,BIPlatform",,False,8,4,protected,active,,,,,,
fct_raf__frs_score,model.healthcare_analytics.fct_raf__frs_score,models/healthcare/raf/score/facts/fct_raf__frs_score.sql,healthcare,table,True,False,5,"cms_hcc,cube,fact,frs,gold,raf,risk_adjustment,BIPlatform",,False,9,3,protected,active,,,,,,
fct_raf__frs_summary,model.healthcare_analytics.fct_raf__frs_summary,models/healthcare/raf/score/facts/fct_raf__frs_summary.sql,healthcare,table,True,False,5,"cms_hcc,cube,fact,frs,gold,raf,risk_adjustment,BIPlatform",,False,12,2,protected,active,,,,,,
fct_raf__member_revenue,model.healthcare_analytics.fct_raf__member_revenue,models/healthcare/raf/revenue/facts/fct_raf__member_revenue.sql,healthcare,table,True,False,17,"cms_hcc,cube,fact,finance,finraf,raf,risk_adjustment,BIPlatform",,False,28,3,protected,active,,,,,,
fct_raf__monthly_score_snapshots,model.healthcare_analytics.fct_raf__monthly_score_snapshots,models/healthcare/raf/score/facts/fct_raf__monthly_score_snapshots.sql,healthcare,incremental,True,False,14,"cms_hcc,cube,fact,gold,monthly_snapshots,raf,risk_adjustment,BIPlatform",,False,19,18,protected,active,,,,,,
fct_raf__monthly_snapshots,model.healthcare_analytics.fct_raf__monthly_snapshots,models/healthcare/raf/score/facts/fct_raf__monthly_snapshots.sql,healthcare,table,True,False,2,"cms_hcc,cube,fact,gold,raf,risk_adjustment,BIPlatform",,False,8,8,protected,active,,,,,,
fct_raf__patient_summary,model.healthcare_analytics.fct_raf__patient_summary,models/healthcare/raf/score/facts/fct_raf__patient_summary.sql,healthcare,table,True,False,8,"cms_hcc,cube,fact,gold,raf,risk_adjustment,BIPlatform",,False,24,5,protected,active,,,,,,
fct_raf__score_components,model.healthcare_analytics.fct_raf__score_components,models/healthcare/raf/score/facts/fct_raf__score_components.sql,healthcare,incremental,True,False,6,"cms_hcc,cube,fact,gold,raf,risk_adjustment,BIPlatform",,False,19,5,protected,active,,,,,,
fct_raf__v24_score_components,model.healthcare_analytics.fct_raf__v24_score_components,models/healthcare/raf/score/facts/fct_raf__v24_score_components.sql,healthcare,table,True,False,3,"blend,cms_hcc,cube,fact,gold,raf,risk_adjustment,v24,BIPlatform",,False,5,3,protected,active,,,,,,
fct_raf__year_progression,model.healthcare_analytics.fct_raf__year_progression,models/healthcare/raf/score/facts/fct_raf__year_progression.sql,healthcare,table,True,False,3,"cms_hcc,cube,fact,gold,raf,risk_adjustment,BIPlatform",,False,4,1,protected,active,,,,,,
fct_rn_inbox_actions,model.healthcare_analytics.fct_rn_inbox_actions,models/healthcare/rn_inbox/fct_rn_inbox_actions.sql,healthcare,view,True,False,10,"fact,nursing,rn_inbox",,False,5,6,protected,active,,,,,,
fct_rn_inbox_current,model.healthcare_analytics.fct_rn_inbox_current,models/healthcare/rn_inbox/fct_rn_inbox_current.sql,healthcare,view,True,False,1,"fact,nursing,rn_inbox",,False,3,4,protected,active,,,,,,
fct_rn_last_phone_outreach,model.healthcare_analytics.fct_rn_last_phone_outreach,models/healthcare/rn_inbox/fct_rn_last_phone_outreach.sql,healthcare,view,True,False,1,"fact,nursing,rn_inbox",,False,3,4,protected,active,,,,,,
fct_rn_patient_clinical_summary,model.healthcare_analytics.fct_rn_patient_clinical_summary,models/healthcare/rn_inbox/fct_rn_patient_clinical_summary.sql,healthcare,view,True,False,3,"fact,nursing,rn_inbox",,False,3,6,protected,active,,,,,,
fct_spend__patient_month,model.healthcare_analytics.fct_spend__patient_month,models/healthcare/spend/facts/fct_spend__patient_month.sql,healthcare,table,True,False,17,"cube,fact,spend,BIPlatform",,True,53,9,protected,active,,,,,,
gold_appointment_supplement,model.healthcare_analytics.gold_appointment_supplement,models/healthcare/raf/capture/gold/gold_appointment_supplement.sql,healthcare,incremental,True,False,1,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,4,1,protected,active,,,,,,
gold_combined_raf,model.healthcare_analytics.gold_combined_raf,models/healthcare/raf/score/gold/gold_combined_raf.sql,healthcare,table,True,False,5,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,5,5,protected,active,,,,,,
gold_current_assessment,model.healthcare_analytics.gold_current_assessment,models/healthcare/raf/capture/gold/gold_current_assessment.sql,healthcare,incremental,True,False,3,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,5,1,protected,active,,,,,,
gold_demographic_raf,model.healthcare_analytics.gold_demographic_raf,models/healthcare/raf/score/gold/gold_demographic_raf.sql,healthcare,incremental,True,False,2,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,3,5,protected,active,,,,,,
gold_final_assessment,model.healthcare_analytics.gold_final_assessment,models/healthcare/raf/capture/gold/gold_final_assessment.sql,healthcare,incremental,True,False,3,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,5,5,protected,active,,,,,,
gold_navina_patient_roster,model.healthcare_analytics.gold_navina_patient_roster,models/healthcare/raf/capture/gold/gold_navina_patient_roster.sql,healthcare,table,True,False,2,"cms_hcc,cube,export,gold,VendorNav,raf,risk_adjustment,BIPlatform",,False,2,2,protected,active,,,,,,
gold_navina_raf,model.healthcare_analytics.gold_navina_raf,models/healthcare/raf/capture/gold/gold_navina_raf.sql,healthcare,incremental,True,False,2,"backwards_compat,cms_hcc,cube,gold,legacy,VendorNav,raf,risk_adjustment,BIPlatform",,False,3,5,protected,active,,,,,,
gold_pending_claims_raf,model.healthcare_analytics.gold_pending_claims_raf,models/healthcare/raf/capture/gold/gold_pending_claims_raf.sql,healthcare,incremental,True,False,2,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,3,6,protected,active,,,,,,
gold_suggestion_raf,model.healthcare_analytics.gold_suggestion_raf,models/healthcare/raf/capture/gold/gold_suggestion_raf.sql,healthcare,incremental,True,False,3,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,5,4,protected,active,,,,,,
gold_suggestion_with_appt,model.healthcare_analytics.gold_suggestion_with_appt,models/healthcare/raf/capture/gold/gold_suggestion_with_appt.sql,healthcare,incremental,True,False,1,"backwards_compat,cms_hcc,cube,gold,legacy,raf,risk_adjustment,BIPlatform",,False,2,2,protected,active,,,,,,
heartwise,model.healthcare_analytics.heartwise,models/facts/heartwise.sql,healthcare,incremental,True,True,11,"clinical_programs,cube,fact,heartwise,BIPlatform",,False,3,2,protected,active,,,,,,
hist_appointment_type,model.healthcare_analytics.hist_appointment_type,models/historical/hist_appointment_type.sql,historical,view,True,False,3,"appointment_type,historical,mdm,pit",,False,2,1,protected,active,,,,,,
hist_insurance_plan,model.healthcare_analytics.hist_insurance_plan,models/historical/hist_insurance_plan.sql,historical,view,True,False,4,"historical,insurance,mdm,pit",,False,4,1,protected,active,,,,,,
hist_member_status_monthly,model.healthcare_analytics.hist_member_status_monthly,models/historical/hist_member_status_monthly.sql,historical,view,True,False,5,"historical,membership,patient,pit",,False,4,3,protected,active,,,,,,
hist_patient_insurance,model.healthcare_analytics.hist_patient_insurance,models/historical/hist_patient_insurance.sql,historical,view,True,False,6,"historical,insurance,mdm,patient,pit",,False,2,1,protected,active,,,,,,
hist_patient_insurance_monthly,model.healthcare_analytics.hist_patient_insurance_monthly,models/historical/hist_patient_insurance_monthly.sql,historical,table,True,False,5,"historical,insurance,mdm,patient,pit",,False,5,5,protected,active,,,,,,
hist_patient_provider_monthly,model.healthcare_analytics.hist_patient_provider_monthly,models/historical/hist_patient_provider_monthly.sql,historical,table,True,False,4,"historical,mdm,patient,pit,provider",,False,4,1,protected,active,,,,,,
hist_patient_status,model.healthcare_analytics.hist_patient_status,models/historical/hist_patient_status.sql,historical,view,True,False,5,"historical,mdm,patient,pit,status",,False,3,1,protected,active,,,,,,
hist_patient_status_monthly,model.healthcare_analytics.hist_patient_status_monthly,models/historical/hist_patient_status_monthly.sql,historical,incremental,True,False,4,"historical,mdm,patient,pit,status",,False,9,4,protected,active,,,,,,
hist_provider,model.healthcare_analytics.hist_provider,models/historical/hist_provider.sql,historical,view,True,False,6,"historical,mdm,pit,provider",,False,2,1,protected,active,,,,,,
insurance_plans,model.healthcare_analytics.insurance_plans,models/dimensions/insurance_plans.sql,healthcare,incremental,True,True,20,"cube,dimension,mdm,BIPlatform",,False,13,1,protected,active,,,,,,
int_attribution_global,model.healthcare_analytics.int_attribution_global,models/intermediate/int_attribution_global.sql,healthcare,incremental,True,True,30,"attribution,cube,hourly,intermediate,mdm,BIPlatform",,False,8,5,protected,active,,,,,,
int_attribution_payor_slots,model.healthcare_analytics.int_attribution_payor_slots,models/intermediate/int_attribution_payor_slots.sql,healthcare,table,True,False,4,"attribution,cube,hourly,intermediate,mdm,BIPlatform",,False,9,2,protected,active,,,,,,
int_attribution_payor_slots_pit,model.healthcare_analytics.int_attribution_payor_slots_pit,models/intermediate/int_attribution_payor_slots_pit.sql,healthcare,table,True,False,6,"attribution,cube,hourly,intermediate,vbc,BIPlatform",,False,3,2,protected,active,,,,,,
int_attribution_point_in_time,model.healthcare_analytics.int_attribution_point_in_time,models/intermediate/int_attribution_point_in_time.sql,healthcare,table,True,True,71,"attribution,cube,hourly,intermediate,vbc,BIPlatform",data_engineering,False,16,6,protected,active,,,,,,
int_attribution_provider_match,model.healthcare_analytics.int_attribution_provider_match,models/intermediate/int_attribution_provider_match.sql,intermediate,view,True,False,8,"attribution,empi,intermediate,mdm,provider",,False,5,8,protected,active,,,,,,
int_attribution_roster_spans,model.healthcare_analytics.int_attribution_roster_spans,models/intermediate/int_attribution_roster_spans.sql,healthcare,table,True,False,6,"attribution,bcr,cube,hourly,intermediate,vbc,BIPlatform",data_engineering,False,11,2,protected,active,,,,,,
int_bonus__awv_rate,model.healthcare_analytics.int_bonus__awv_rate,models/provider_bonus/intermediate/int_bonus__awv_rate.sql,provider_bonus,view,True,True,9,"intermediate,provider_bonus",,False,4,3,protected,active,,,,,,
int_bonus__float_provider_clinic_weight,model.healthcare_analytics.int_bonus__float_provider_clinic_weight,models/provider_bonus/intermediate/int_bonus__float_provider_clinic_weight.sql,provider_bonus,view,True,False,2,"float,intermediate,provider_bonus",,False,2,2,protected,active,,,,,,
int_bonus__hcc_assessment_rate,model.healthcare_analytics.int_bonus__hcc_assessment_rate,models/provider_bonus/intermediate/int_bonus__hcc_assessment_rate.sql,provider_bonus,view,True,True,12,"intermediate,provider_bonus",,False,4,3,protected,active,,,,,,
