icd10_code,description
E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene
E08621,Diabetes mellitus due to underlying condition with foot ulcer
E08622,Diabetes mellitus due to underlying condition with other skin ulcer
E08641,Diabetes mellitus due to underlying condition with hypoglycemia with coma
E0900,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E0901,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
E0910,Drug or chemical induced diabetes mellitus with ketoacidosis without coma
E0911,Drug or chemical induced diabetes mellitus with ketoacidosis with coma
E0952,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene
E09621,Drug or chemical induced diabetes mellitus with foot ulcer
E09622,Drug or chemical induced diabetes mellitus with other skin ulcer
E09641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma
E1010,Type 1 diabetes mellitus with ketoacidosis without coma
E1011,Type 1 diabetes mellitus with ketoacidosis with coma
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
E10621,Type 1 diabetes mellitus with foot ulcer
E10622,Type 1 diabetes mellitus with other skin ulcer
E10641,Type 1 diabetes mellitus with hypoglycemia with coma
E1100,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E1101,Type 2 diabetes mellitus with hyperosmolarity with coma
E1110,Type 2 diabetes mellitus with ketoacidosis without coma
E1111,Type 2 diabetes mellitus with ketoacidosis with coma
E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
E11621,Type 2 diabetes mellitus with foot ulcer
E11622,Type 2 diabetes mellitus with other skin ulcer
E11641,Type 2 diabetes mellitus with hypoglycemia with coma
E1300,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E1301,Other specified diabetes mellitus with hyperosmolarity with coma
E1310,Other specified diabetes mellitus with ketoacidosis without coma
E1311,Other specified diabetes mellitus with ketoacidosis with coma
E1352,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene
E13621,Other specified diabetes mellitus with foot ulcer
E13622,Other specified diabetes mellitus with other skin ulcer
E13641,Other specified diabetes mellitus with hypoglycemia with coma
G0482,Acute flaccid myelitis
G361,Acute and subacute hemorrhagic leukoencephalitis [Hurst]
G368,Other specified acute disseminated demyelination
G369,"Acute disseminated demyelination, unspecified"
G373,Acute transverse myelitis in demyelinating disease of central nervous system
G374,Subacute necrotizing myelitis of central nervous system
G7001,Myasthenia gravis with (acute) exacerbation
G931,"Anoxic brain damage, not elsewhere classified"
G935,Compression of brain
G936,Cerebral edema
G9511,Acute infarction of spinal cord (embolic) (nonembolic)
I200,Unstable angina
I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery
I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery
I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
I2129,ST elevation (STEMI) myocardial infarction involving other sites
I213,ST elevation (STEMI) myocardial infarction of unspecified site
I214,Non-ST elevation (NSTEMI) myocardial infarction
I219,"Acute myocardial infarction, unspecified"
I21A1,Myocardial infarction type 2
I21A9,Other myocardial infarction type
I21B,Myocardial infarction with coronary microvascular dysfunction
I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction
I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites
I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
I230,Hemopericardium as current complication following acute myocardial infarction
I231,Atrial septal defect as current complication following acute myocardial infarction
I232,Ventricular septal defect as current complication following acute myocardial infarction
I233,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
I234,Rupture of chordae tendineae as current complication following acute myocardial infarction
I235,Rupture of papillary muscle as current complication following acute myocardial infarction
I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
I237,Postinfarction angina
I238,Other current complications following acute myocardial infarction
I240,Acute coronary thrombosis not resulting in myocardial infarction
I241,Dressler's syndrome
I248,Other forms of acute ischemic heart disease
I2481,Acute coronary microvascular dysfunction
I2489,Other forms of acute ischemic heart disease
I249,"Acute ischemic heart disease, unspecified"
I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
I25700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris"
I25710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
I25720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris
I25730,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
I25750,Atherosclerosis of native coronary artery of transplanted heart with unstable angina
I25760,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina
I25790,Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
I2601,Septic pulmonary embolism with acute cor pulmonale
I2602,Saddle embolus of pulmonary artery with acute cor pulmonale
I2609,Other pulmonary embolism with acute cor pulmonale
I469,"Cardiac arrest, cause unspecified"
I5021,Acute systolic (congestive) heart failure
I5031,Acute diastolic (congestive) heart failure
I5041,Acute combined systolic (congestive) and diastolic (congestive) heart failure
I50811,Acute right heart failure
I50813,Acute on chronic right heart failure
I511,"Rupture of chordae tendineae, not elsewhere classified"
I512,"Rupture of papillary muscle, not elsewhere classified"
I6000,Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation
I6001,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation
I6002,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation
I6010,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery
I6011,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery
I6012,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery
I602,Nontraumatic subarachnoid hemorrhage from anterior communicating artery
I6030,Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery
I6031,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery
I6032,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery
I604,Nontraumatic subarachnoid hemorrhage from basilar artery
I6050,Nontraumatic subarachnoid hemorrhage from unspecified vertebral artery
I6051,Nontraumatic subarachnoid hemorrhage from right vertebral artery
I6052,Nontraumatic subarachnoid hemorrhage from left vertebral artery
I606,Nontraumatic subarachnoid hemorrhage from other intracranial arteries
I607,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery
I608,Other nontraumatic subarachnoid hemorrhage
I609,"Nontraumatic subarachnoid hemorrhage, unspecified"
I610,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical"
I611,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical"
I612,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified"
I613,Nontraumatic intracerebral hemorrhage in brain stem
I614,Nontraumatic intracerebral hemorrhage in cerebellum
I615,"Nontraumatic intracerebral hemorrhage, intraventricular"
I616,"Nontraumatic intracerebral hemorrhage, multiple localized"
I618,Other nontraumatic intracerebral hemorrhage
I619,"Nontraumatic intracerebral hemorrhage, unspecified"
I6200,"Nontraumatic subdural hemorrhage, unspecified"
I6201,Nontraumatic acute subdural hemorrhage
I6202,Nontraumatic subacute subdural hemorrhage
I6203,Nontraumatic chronic subdural hemorrhage
I621,Nontraumatic extradural hemorrhage
I629,"Nontraumatic intracranial hemorrhage, unspecified"
I6300,Cerebral infarction due to thrombosis of unspecified precerebral artery
I63011,Cerebral infarction due to thrombosis of right vertebral artery
I63012,Cerebral infarction due to thrombosis of left vertebral artery
I63013,Cerebral infarction due to thrombosis of bilateral vertebral arteries
I63019,Cerebral infarction due to thrombosis of unspecified vertebral artery
I6302,Cerebral infarction due to thrombosis of basilar artery
I63031,Cerebral infarction due to thrombosis of right carotid artery
I63032,Cerebral infarction due to thrombosis of left carotid artery
I63033,Cerebral infarction due to thrombosis of bilateral carotid arteries
I63039,Cerebral infarction due to thrombosis of unspecified carotid artery
I6309,Cerebral infarction due to thrombosis of other precerebral artery
I6310,Cerebral infarction due to embolism of unspecified precerebral artery
I63111,Cerebral infarction due to embolism of right vertebral artery
I63112,Cerebral infarction due to embolism of left vertebral artery
I63113,Cerebral infarction due to embolism of bilateral vertebral arteries
I63119,Cerebral infarction due to embolism of unspecified vertebral artery
I6312,Cerebral infarction due to embolism of basilar artery
I63131,Cerebral infarction due to embolism of right carotid artery
I63132,Cerebral infarction due to embolism of left carotid artery
I63133,Cerebral infarction due to embolism of bilateral carotid arteries
I63139,Cerebral infarction due to embolism of unspecified carotid artery
I6319,Cerebral infarction due to embolism of other precerebral artery
I6320,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries
I63211,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery
I63212,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery
I63213,Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries
I63219,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery
I6322,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery
I63231,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries
I63232,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries
I63233,Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries
I63239,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery
I6329,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries
I6330,Cerebral infarction due to thrombosis of unspecified cerebral artery
I63311,Cerebral infarction due to thrombosis of right middle cerebral artery
I63312,Cerebral infarction due to thrombosis of left middle cerebral artery
I63313,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries
I63319,Cerebral infarction due to thrombosis of unspecified middle cerebral artery
I63321,Cerebral infarction due to thrombosis of right anterior cerebral artery
I63322,Cerebral infarction due to thrombosis of left anterior cerebral artery
I63323,Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries
I63329,Cerebral infarction due to thrombosis of unspecified anterior cerebral artery
I63331,Cerebral infarction due to thrombosis of right posterior cerebral artery
I63332,Cerebral infarction due to thrombosis of left posterior cerebral artery
I63333,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries
I63339,Cerebral infarction due to thrombosis of unspecified posterior cerebral artery
I63341,Cerebral infarction due to thrombosis of right cerebellar artery
I63342,Cerebral infarction due to thrombosis of left cerebellar artery
I63343,Cerebral infarction due to thrombosis of bilateral cerebellar arteries
I63349,Cerebral infarction due to thrombosis of unspecified cerebellar artery
I6339,Cerebral infarction due to thrombosis of other cerebral artery
I6340,Cerebral infarction due to embolism of unspecified cerebral artery
I63411,Cerebral infarction due to embolism of right middle cerebral artery
I63412,Cerebral infarction due to embolism of left middle cerebral artery
I63413,Cerebral infarction due to embolism of bilateral middle cerebral arteries
I63419,Cerebral infarction due to embolism of unspecified middle cerebral artery
I63421,Cerebral infarction due to embolism of right anterior cerebral artery
I63422,Cerebral infarction due to embolism of left anterior cerebral artery
I63423,Cerebral infarction due to embolism of bilateral anterior cerebral arteries
I63429,Cerebral infarction due to embolism of unspecified anterior cerebral artery
I63431,Cerebral infarction due to embolism of right posterior cerebral artery
I63432,Cerebral infarction due to embolism of left posterior cerebral artery
I63433,Cerebral infarction due to embolism of bilateral posterior cerebral arteries
I63439,Cerebral infarction due to embolism of unspecified posterior cerebral artery
I63441,Cerebral infarction due to embolism of right cerebellar artery
I63442,Cerebral infarction due to embolism of left cerebellar artery
I63443,Cerebral infarction due to embolism of bilateral cerebellar arteries
I63449,Cerebral infarction due to embolism of unspecified cerebellar artery
I6349,Cerebral infarction due to embolism of other cerebral artery
I6350,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery
I63511,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery
I63512,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery
I63513,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries
I63519,Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery
I63521,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery
I63522,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery
I63523,Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries
I63529,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery
I63531,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery
I63532,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery
I63533,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries
I63539,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery
I63541,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery
I63542,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery
I63543,Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries
I63549,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery
I6359,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I6381,Other cerebral infarction due to occlusion or stenosis of small artery
I6389,Other cerebral infarction
I639,"Cerebral infarction, unspecified"
I70231,Atherosclerosis of native arteries of right leg with ulceration of thigh
I70232,Atherosclerosis of native arteries of right leg with ulceration of calf
I70233,Atherosclerosis of native arteries of right leg with ulceration of ankle
I70234,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot
I70235,Atherosclerosis of native arteries of right leg with ulceration of other part of foot
I70238,Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg
I70239,Atherosclerosis of native arteries of right leg with ulceration of unspecified site
I70241,Atherosclerosis of native arteries of left leg with ulceration of thigh
I70242,Atherosclerosis of native arteries of left leg with ulceration of calf
I70243,Atherosclerosis of native arteries of left leg with ulceration of ankle
I70244,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot
I70245,Atherosclerosis of native arteries of left leg with ulceration of other part of foot
I70248,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg
I70249,Atherosclerosis of native arteries of left leg with ulceration of unspecified site
I7025,Atherosclerosis of native arteries of other extremities with ulceration
I70261,"Atherosclerosis of native arteries of extremities with gangrene, right leg"
I70262,"Atherosclerosis of native arteries of extremities with gangrene, left leg"
I70263,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs"
I70268,"Atherosclerosis of native arteries of extremities with gangrene, other extremity"
I70269,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity"
I70331,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh
I70332,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf
I70333,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle
I70334,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot
I70335,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot
I70338,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg
I70339,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site
I70341,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh
I70342,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf
I70343,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle
I70344,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot
I70345,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot
I70348,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg
I70349,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site
I7035,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration
I70361,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg"
I70362,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg"
I70363,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs"
I70368,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity"
I70369,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity"
I70431,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of thigh
I70432,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of calf
I70433,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of ankle
I70434,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of heel and midfoot
I70435,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot
I70438,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg
I70439,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of unspecified site
I70441,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of thigh
I70442,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of calf
I70443,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle
I70444,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of heel and midfoot
I70445,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot
I70448,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of lower leg
I70449,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of unspecified site
I7045,Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration
I70461,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg"
I70462,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg"
I70463,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs"
I70468,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity"
I70469,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity"
I70531,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh
I70532,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf
I70533,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of ankle
I70534,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of heel and midfoot
I70535,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of foot
I70538,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of other part of lower leg
I70539,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of unspecified site
I70541,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of thigh
I70542,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf
I70543,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of ankle
I70544,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot
I70545,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of foot
I70548,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg
I70549,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site
I7055,Atherosclerosis of nonautologous biological bypass graft(s) of other extremity with ulceration
I70561,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, right leg"
I70562,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg"
I70563,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs"
I70568,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity"
I70569,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity"
I70631,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh
I70632,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf
I70633,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of ankle
I70634,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot
I70635,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot
I70638,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg
I70639,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of unspecified site
I70641,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of thigh
I70642,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf
I70643,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of ankle
I70644,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of heel and midfoot
I70645,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of foot
I70648,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of other part of lower leg
I70649,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site
I7065,Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration
I70661,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg"
I70662,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg"
I70663,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, bilateral legs"
I70668,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity"
I70669,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified extremity"
I70731,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of thigh
I70732,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of calf
I70733,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of ankle
I70734,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot
I70735,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of foot
I70738,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of other part of lower leg
I70739,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of unspecified site
I70741,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh
I70742,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of calf
I70743,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of ankle
I70744,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of heel and midfoot
I70745,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of foot
I70748,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of other part of lower leg
I70749,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of unspecified site
I7075,Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration
I70761,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, right leg"
I70762,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, left leg"
I70763,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, bilateral legs"
I70768,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, other extremity"
I70769,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, unspecified extremity"
I7301,Raynaud's syndrome with gangrene
I82210,Acute embolism and thrombosis of superior vena cava
I82220,Acute embolism and thrombosis of inferior vena cava
I82290,Acute embolism and thrombosis of other thoracic veins
I82401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity
I82402,Acute embolism and thrombosis of unspecified deep veins of left lower extremity
I82403,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral"
I82409,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity
I82411,Acute embolism and thrombosis of right femoral vein
I82412,Acute embolism and thrombosis of left femoral vein
I82413,"Acute embolism and thrombosis of femoral vein, bilateral"
I82419,Acute embolism and thrombosis of unspecified femoral vein
I82421,Acute embolism and thrombosis of right iliac vein
I82422,Acute embolism and thrombosis of left iliac vein
I82423,"Acute embolism and thrombosis of iliac vein, bilateral"
I82429,Acute embolism and thrombosis of unspecified iliac vein
I82431,Acute embolism and thrombosis of right popliteal vein
I82432,Acute embolism and thrombosis of left popliteal vein
I82433,"Acute embolism and thrombosis of popliteal vein, bilateral"
I82439,Acute embolism and thrombosis of unspecified popliteal vein
I82441,Acute embolism and thrombosis of right tibial vein
I82442,Acute embolism and thrombosis of left tibial vein
I82443,"Acute embolism and thrombosis of tibial vein, bilateral"
I82449,Acute embolism and thrombosis of unspecified tibial vein
I82451,Acute embolism and thrombosis of right peroneal vein
I82452,Acute embolism and thrombosis of left peroneal vein
I82453,"Acute embolism and thrombosis of peroneal vein, bilateral"
I82459,Acute embolism and thrombosis of unspecified peroneal vein
I82461,Acute embolism and thrombosis of right calf muscular vein
I82462,Acute embolism and thrombosis of left calf muscular vein
I82463,"Acute embolism and thrombosis of calf muscular vein, bilateral"
I82469,Acute embolism and thrombosis of unspecified calf muscular vein
I82491,Acute embolism and thrombosis of other specified deep vein of right lower extremity
I82492,Acute embolism and thrombosis of other specified deep vein of left lower extremity
I82493,"Acute embolism and thrombosis of other specified deep vein of lower extremity, bilateral"
I82499,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity
